posted_date,raw_date,amount,amount_minor,direction,section,description,description_raw,statement_start,statement_end,account_last4,source_file,raw_lines_json
2023-08-31,08/31/23,-10.00,-1000,debit,withdrawals,"PURCHASE 0829 CG LAUNDRY RUTGERS COLL 804-7846100 NJ continued on the next page MOUSTAFA MOHAMED NASR ! Account # 3810 6904 2061 ! August 21, 2023 to September 18, 2023","08/31/23 PURCHASE 0829 CG LAUNDRY RUTGERS COLL 804-7846100 NJ continued on the next page MOUSTAFA MOHAMED NASR ! Account # 3810 6904 2061 ! August 21, 2023 to September 18, 2023","August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""08/31/23 PURCHASE   0829 CG LAUNDRY RUTGERS COLL 804-7846100  NJ -10.00"", ""continued on the next page"", ""MOUSTAFA MOHAMED NASR   !   Account # 3810 6904 2061   !   August 21, 2023 to September 18, 2023""]"
2023-09-01,09/01/23,-13.00,-1300,debit,withdrawals,MOBILE PURCHASE 0830 110 HONEYGROW-RUTGERS NEW BRUNSWICKNJ,09/01/23 MOBILE PURCHASE 0830 110 HONEYGROW-RUTGERS NEW BRUNSWICKNJ,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/01/23 MOBILE PURCHASE 0830  110 HONEYGROW-RUTGERS NEW BRUNSWICKNJ -13.00""]"
2023-09-05,09/05/23,-11.20,-1120,debit,withdrawals,MOBILE PURCHASE 0901 TST* El Jefes Taqueria NEW BRUNSWICKNJ,09/05/23 MOBILE PURCHASE 0901 TST* El Jefes Taqueria NEW BRUNSWICKNJ,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/05/23 MOBILE PURCHASE 0901  TST* El Jefes Taqueria NEW BRUNSWICKNJ -11.20""]"
2023-09-06,09/06/23,-5.24,-524,debit,withdrawals,MOBILE PURCHASE 0904 KING OF GYRO NEW BRUNSWICKNJ,09/06/23 MOBILE PURCHASE 0904 KING OF GYRO NEW BRUNSWICKNJ,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/06/23 MOBILE PURCHASE 0904  KING OF GYRO NEW BRUNSWICKNJ -5.24""]"
2023-09-07,09/07/23,-44.00,-4400,debit,withdrawals,PMNT SENT 0906 APPLE CASH SENT MONEY 1INFINITELOOPCA,09/07/23 PMNT SENT 0906 APPLE CASH SENT MONEY 1INFINITELOOPCA,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/07/23 PMNT SENT  0906 APPLE CASH SENT MONEY 1INFINITELOOPCA -44.00""]"
2023-09-07,09/07/23,150.00,15000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7912926445,09/07/23 Online Banking transfer from CHK 3765 Confirmation# 7912926445,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/07/23 Online Banking transfer from CHK 3765 Confirmation# 7912926445 150.00""]"
2023-09-11,09/11/23,-85.29,-8529,debit,withdrawals,CHECKCARD 0908 AWL*PEARSON EDUCATION PRSONCS.COM NJ 24692163251103000054343,09/11/23 CHECKCARD 0908 AWL*PEARSON EDUCATION PRSONCS.COM NJ 24692163251103000054343,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/11/23 CHECKCARD  0908 AWL*PEARSON EDUCATION PRSONCS.COM  NJ 24692163251103000054343 -85.29""]"
2023-09-11,09/11/23,-38.25,-3825,debit,withdrawals,CHECKCARD 0910 Instacart San FranciscoCA,09/11/23 CHECKCARD 0910 Instacart San FranciscoCA,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/11/23 CHECKCARD  0910 Instacart San FranciscoCA -38.25""]"
2023-09-11,09/11/23,-35.00,-3500,debit,withdrawals,CHECKCARD 0908 EXPRT TA COL HOMEWORK 918-770-9876 TN 24915073251206479200362,09/11/23 CHECKCARD 0908 EXPRT TA COL HOMEWORK 918-770-9876 TN 24915073251206479200362,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/11/23 CHECKCARD  0908 EXPRT TA COL HOMEWORK 918-770-9876 TN 24915073251206479200362 -35.00""]"
2023-09-11,09/11/23,-11.72,-1172,debit,withdrawals,MOBILE PURCHASE 0909 NNT KNIGHTEXPR NEW BRUNSWICKNJ,09/11/23 MOBILE PURCHASE 0909 NNT KNIGHTEXPR NEW BRUNSWICKNJ,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/11/23 MOBILE PURCHASE 0909  NNT KNIGHTEXPR NEW BRUNSWICKNJ -11.72""]"
2023-09-13,09/13/23,-10.00,-1000,debit,withdrawals,PURCHASE 0909 CG LAUNDRY RUTGERS COLL 804-7846100 NJ,09/13/23 PURCHASE 0909 CG LAUNDRY RUTGERS COLL 804-7846100 NJ,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/13/23 PURCHASE   0909 CG LAUNDRY RUTGERS COLL 804-7846100  NJ -10.00""]"
2023-09-18,09/18/23,100.00,10000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7806695877,09/18/23 Online Banking transfer from CHK 3765 Confirmation# 7806695877,"August 21, 2023","September 18, 2023",2061,eStmt_2023-09-18.pdf,"[""09/18/23 Online Banking transfer from CHK 3765 Confirmation# 7806695877 100.00""]"
2023-09-19,09/19/23,-99.00,-9900,debit,withdrawals,CHECKCARD 0918 ZYBOOK COLLEGE TXTBOOK HTTPSWWW.ZYBOCA 24492163261000042848270,09/19/23 CHECKCARD 0918 ZYBOOK COLLEGE TXTBOOK HTTPSWWW.ZYBOCA 24492163261000042848270,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/19/23 CHECKCARD  0918 ZYBOOK COLLEGE TXTBOOK HTTPSWWW.ZYBOCA"", ""24492163261000042848270-99.00""]"
2023-09-20,09/20/23,-3.28,-328,debit,withdrawals,MOBILE PURCHASE 0920 SNACK* TRIBOS PERI PER 120-36845156 CA,09/20/23 MOBILE PURCHASE 0920 SNACK* TRIBOS PERI PER 120-36845156 CA,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/20/23 MOBILE PURCHASE 0920  SNACK* TRIBOS PERI PER 120-36845156 CA -3.28""]"
2023-09-25,09/25/23,-15.94,-1594,debit,withdrawals,MOBILE PURCHASE 0922 RU BOOKSTORE 6600 NEW BRUNSWICKNJ,09/25/23 MOBILE PURCHASE 0922 RU BOOKSTORE 6600 NEW BRUNSWICKNJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/25/23 MOBILE PURCHASE 0922  RU BOOKSTORE 6600 NEW BRUNSWICKNJ -15.94""]"
2023-09-25,09/25/23,-2.93,-293,debit,withdrawals,MOBILE PURCHASE 0923 TST* El Jefes Taqueria NEW BRUNSWICKNJ,09/25/23 MOBILE PURCHASE 0923 TST* El Jefes Taqueria NEW BRUNSWICKNJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/25/23 MOBILE PURCHASE 0923  TST* El Jefes Taqueria NEW BRUNSWICKNJ -2.93""]"
2023-09-25,09/25/23,200.00,20000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7548609685,09/25/23 Online Banking transfer from CHK 3765 Confirmation# 7548609685,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/25/23 Online Banking transfer from CHK 3765 Confirmation# 7548609685 200.00""]"
2023-09-26,09/26/23,-118.17,-11817,debit,withdrawals,PURCHASE 0925 AMZN Mktp US*TX8GH2WC1 Amzn.com/billWA,09/26/23 PURCHASE 0925 AMZN Mktp US*TX8GH2WC1 Amzn.com/billWA,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/26/23 PURCHASE   0925 AMZN Mktp US*TX8GH2WC1 Amzn.com/billWA -118.17""]"
2023-09-26,09/26/23,-79.92,-7992,debit,withdrawals,CHECKCARD 0925 AMZN MKTP US*T10WL5KH2 SEATTLE WA 24431063268083714833456,09/26/23 CHECKCARD 0925 AMZN MKTP US*T10WL5KH2 SEATTLE WA 24431063268083714833456,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/26/23 CHECKCARD  0925 AMZN MKTP US*T10WL5KH2 SEATTLE      WA 24431063268083714833456 -79.92""]"
2023-09-26,09/26/23,-0.85,-85,debit,withdrawals,MOBILE PURCHASE 0924 BARNES & NOBLE #2162 EDISON NJ,09/26/23 MOBILE PURCHASE 0924 BARNES & NOBLE #2162 EDISON NJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""09/26/23 MOBILE PURCHASE 0924  BARNES & NOBLE #2162 EDISON       NJ -0.85""]"
2023-10-02,10/02/23,-52.25,-5225,debit,withdrawals,MOBILE PURCHASE 0930 APPLE STORE #R067 EDISON NJ,10/02/23 MOBILE PURCHASE 0930 APPLE STORE #R067 EDISON NJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/02/23 MOBILE PURCHASE 0930  APPLE STORE  #R067 EDISON       NJ -52.25""]"
2023-10-02,10/02/23,-13.00,-1300,debit,withdrawals,MOBILE PURCHASE 0929 SQ *SURREAL CREAMERY New BrunswickNJ,10/02/23 MOBILE PURCHASE 0929 SQ *SURREAL CREAMERY New BrunswickNJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/02/23 MOBILE PURCHASE 0929  SQ *SURREAL CREAMERY New BrunswickNJ -13.00""]"
2023-10-02,10/02/23,-0.90,-90,debit,withdrawals,MOBILE PURCHASE 1001 STARBUCKS TRUCK PISCATAWAY NJ,10/02/23 MOBILE PURCHASE 1001 STARBUCKS TRUCK PISCATAWAY NJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/02/23 MOBILE PURCHASE 1001  STARBUCKS TRUCK PISCATAWAY   NJ -0.90""]"
2023-10-02,10/02/23,50.00,5000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7408859363,10/02/23 Online Banking transfer from CHK 3765 Confirmation# 7408859363,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/02/23 Online Banking transfer from CHK 3765 Confirmation# 7408859363 50.00""]"
2023-10-05,10/05/23,-10.00,-1000,debit,withdrawals,PURCHASE 1003 CG LAUNDRY RUTGERS COLL 804-7846100 NJ,10/05/23 PURCHASE 1003 CG LAUNDRY RUTGERS COLL 804-7846100 NJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/05/23 PURCHASE   1003 CG LAUNDRY RUTGERS COLL 804-7846100  NJ -10.00""]"
2023-10-10,10/10/23,-17.94,-1794,debit,withdrawals,CHECKCARD 1008 AMAZON.COM*TE1WX61G0 SEATTLE WA 24431063281083350715028,10/10/23 CHECKCARD 1008 AMAZON.COM*TE1WX61G0 SEATTLE WA 24431063281083350715028,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/10/23 CHECKCARD  1008 AMAZON.COM*TE1WX61G0 SEATTLE      WA 24431063281083350715028 -17.94""]"
2023-10-10,10/10/23,-10.00,-1000,debit,withdrawals,MOBILE PURCHASE 1006 WAWA 8386 PISCATAWAY NJ,10/10/23 MOBILE PURCHASE 1006 WAWA 8386 PISCATAWAY NJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/10/23 MOBILE PURCHASE 1006  WAWA 8386 PISCATAWAY   NJ -10.00""]"
2023-10-10,10/10/23,100.00,10000,credit,deposits,Online Banking transfer from CHK 3765 Confirmation# 7686368183,10/10/23 Online Banking transfer from CHK 3765 Confirmation# 7686368183,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/10/23 Online Banking transfer from CHK 3765 Confirmation# 7686368183 100.00""]"
2023-10-12,10/12/23,-12.27,-1227,debit,withdrawals,MOBILE PURCHASE 1011 R U HUNGRY NEW BRUNSWICKNJ,10/12/23 MOBILE PURCHASE 1011 R U HUNGRY NEW BRUNSWICKNJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/12/23 MOBILE PURCHASE 1011  R U HUNGRY NEW BRUNSWICKNJ -12.27""]"
2023-10-12,10/12/23,-10.00,-1000,debit,withdrawals,"PURCHASE 1011 WWW.VEORIDE.COM WWW.VEORIDE.CIL continued on the next page MOUSTAFA MOHAMED NASR ! Account # 3810 6904 2061 ! September 19, 2023 to October 18, 2023","10/12/23 PURCHASE 1011 WWW.VEORIDE.COM WWW.VEORIDE.CIL continued on the next page MOUSTAFA MOHAMED NASR ! Account # 3810 6904 2061 ! September 19, 2023 to October 18, 2023","September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/12/23 PURCHASE   1011 WWW.VEORIDE.COM WWW.VEORIDE.CIL -10.00"", ""continued on the next page"", ""MOUSTAFA MOHAMED NASR   !   Account # 3810 6904 2061   !   September 19, 2023 to October 18, 2023""]"
2023-10-16,10/16/23,-12.90,-1290,debit,withdrawals,MOBILE PURCHASE 1014 CHIPOTLE 1256 NEW BRUNSWICKNJ,10/16/23 MOBILE PURCHASE 1014 CHIPOTLE 1256 NEW BRUNSWICKNJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/16/23 MOBILE PURCHASE 1014  CHIPOTLE 1256 NEW BRUNSWICKNJ -12.90""]"
2023-10-17,10/17/23,-10.00,-1000,debit,withdrawals,PURCHASE 1015 CG LAUNDRY RUTGERS COLL 804-7846100 NJ,10/17/23 PURCHASE 1015 CG LAUNDRY RUTGERS COLL 804-7846100 NJ,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/17/23 PURCHASE   1015 CG LAUNDRY RUTGERS COLL 804-7846100  NJ -10.00""]"
2023-10-17,10/17/23,-5.54,-554,debit,withdrawals,MOBILE PURCHASE 1017 SNACK* AKIHI BUBBLE TE 186-68682146 CA,10/17/23 MOBILE PURCHASE 1017 SNACK* AKIHI BUBBLE TE 186-68682146 CA,"September 19, 2023","October 18, 2023",2061,eStmt_2023-10-18.pdf,"[""10/17/23 MOBILE PURCHASE 1017  SNACK* AKIHI BUBBLE TE 186-68682146 CA -5.54""]"
2023-10-20,10/20/23,-0.45,-45,debit,withdrawals,MOBILE PURCHASE 1018 CAFE WEST NEW BRUNSWICKNJ,10/20/23 MOBILE PURCHASE 1018 CAFE WEST NEW BRUNSWICKNJ,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/20/23 MOBILE PURCHASE 1018  CAFE WEST NEW BRUNSWICKNJ -0.45""]"
2023-10-23,10/23/23,-9.87,-987,debit,withdrawals,PURCHASE 1022 WWW.VEORIDE.COM WWW.VEORIDE.CIL,10/23/23 PURCHASE 1022 WWW.VEORIDE.COM WWW.VEORIDE.CIL,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/23/23 PURCHASE   1022 WWW.VEORIDE.COM WWW.VEORIDE.CIL -9.87""]"
2023-10-24,10/24/23,-30.37,-3037,debit,withdrawals,MOBILE PURCHASE 1023 KBG KOREAN BBQ & GRILL 131-27305592 IL,10/24/23 MOBILE PURCHASE 1023 KBG KOREAN BBQ & GRILL 131-27305592 IL,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/24/23 MOBILE PURCHASE 1023  KBG KOREAN BBQ & GRILL 131-27305592 IL -30.37""]"
2023-10-24,10/24/23,-13.33,-1333,debit,withdrawals,MOBILE PURCHASE 1023 TST* FRITZ'S NEW BRUNSWICKNJ,10/24/23 MOBILE PURCHASE 1023 TST* FRITZ'S NEW BRUNSWICKNJ,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/24/23 MOBILE PURCHASE 1023  TST* FRITZ'S NEW BRUNSWICKNJ -13.33""]"
2023-10-24,10/24/23,1.00,100,credit,deposits,Zelle payment from FATIMA IBRAHIM Conf# 0HZ422QOU,10/24/23 Zelle payment from FATIMA IBRAHIM Conf# 0HZ422QOU,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/24/23 Zelle payment from  FATIMA IBRAHIM Conf# 0HZ422QOU 1.00""]"
2023-10-25,10/25/23,-3.00,-300,debit,other_subtractions,VENMO DES:RETRY PYMT ID:1030136788427 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,10/25/23 VENMO DES:RETRY PYMT ID:1030136788427 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/25/23 VENMO            DES:RETRY PYMT ID:1030136788427  INDN:MOUSTAFA NASR           CO"", ""ID:3264681992 WEB-3.00""]"
2023-10-26,10/26/23,100.00,10000,credit,deposits,Zelle payment from MOHAMED NASR Conf# g4rr7m4u9,10/26/23 Zelle payment from MOHAMED NASR Conf# g4rr7m4u9,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/26/23 Zelle payment from MOHAMED NASR Conf# g4rr7m4u9 100.00""]"
2023-10-27,10/27/23,-2000.00,-200000,debit,other_subtractions,Online Banking transfer to CHK 8534 Confirmation# 7845596438,10/27/23 Online Banking transfer to CHK 8534 Confirmation# 7845596438,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/27/23 Online Banking transfer to CHK 8534 Confirmation# 7845596438 -2,000.00""]"
2023-10-27,10/27/23,2088.50,208850,credit,deposits,Rutgers The Stat DES:NBS REFUND ID:9084285 INDN:MOUSTAFA NASR CO ID:8470751402 PPD,10/27/23 Rutgers The Stat DES:NBS REFUND ID:9084285 INDN:MOUSTAFA NASR CO ID:8470751402 PPD,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/27/23 Rutgers The Stat DES:NBS REFUND ID:9084285  INDN:MOUSTAFA NASR           CO"", ""ID:8470751402 PPD2,088.50""]"
2023-10-30,10/30/23,-89.00,-8900,debit,other_subtractions,Online Banking transfer to CHK 3765 Confirmation# 8049678920,10/30/23 Online Banking transfer to CHK 3765 Confirmation# 8049678920,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 Online Banking transfer to CHK 3765 Confirmation# 8049678920 -89.00""]"
2023-10-30,10/30/23,-13.33,-1333,debit,withdrawals,MOBILE PURCHASE 1029 TST* FRITZ'S NEW BRUNSWICKNJ,10/30/23 MOBILE PURCHASE 1029 TST* FRITZ'S NEW BRUNSWICKNJ,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 MOBILE PURCHASE 1029  TST* FRITZ'S NEW BRUNSWICKNJ -13.33""]"
2023-10-30,10/30/23,-7.93,-793,debit,withdrawals,MOBILE PURCHASE 1028 SNACK* AKIHI BUBBLE TE 186-68682146 CA,10/30/23 MOBILE PURCHASE 1028 SNACK* AKIHI BUBBLE TE 186-68682146 CA,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 MOBILE PURCHASE 1028  SNACK* AKIHI BUBBLE TE 186-68682146 CA -7.93""]"
2023-10-30,10/30/23,-7.01,-701,debit,other_subtractions,VENMO DES:PAYMENT ID:1030257639687 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,10/30/23 VENMO DES:PAYMENT ID:1030257639687 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 VENMO            DES:PAYMENT    ID:1030257639687  INDN:MOUSTAFA NASR           CO"", ""ID:3264681992 WEB-7.01""]"
2023-10-30,10/30/23,-6.38,-638,debit,other_subtractions,VENMO DES:PAYMENT ID:1030295310205 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,10/30/23 VENMO DES:PAYMENT ID:1030295310205 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 VENMO            DES:PAYMENT    ID:1030295310205  INDN:MOUSTAFA NASR           CO"", ""ID:3264681992 WEB-6.38""]"
2023-10-30,10/30/23,-1.75,-175,debit,other_subtractions,VENMO DES:PAYMENT ID:1030279820976 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,10/30/23 VENMO DES:PAYMENT ID:1030279820976 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 VENMO            DES:PAYMENT    ID:1030279820976  INDN:MOUSTAFA NASR           CO"", ""ID:3264681992 WEB-1.75""]"
2023-10-30,10/30/23,-1.75,-175,debit,other_subtractions,VENMO DES:PAYMENT ID:1030279840983 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,10/30/23 VENMO DES:PAYMENT ID:1030279840983 INDN:MOUSTAFA NASR CO ID:3264681992 WEB,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""10/30/23 VENMO            DES:PAYMENT    ID:1030279840983  INDN:MOUSTAFA NASR           CO"", ""ID:3264681992 WEB-1.75""]"
2023-11-03,11/03/23,-19.99,-1999,debit,withdrawals,MOBILE PURCHASE 1101 TST* Nirvanis Indian Ki New BrunswickNJ,11/03/23 MOBILE PURCHASE 1101 TST* Nirvanis Indian Ki New BrunswickNJ,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""11/03/23 MOBILE PURCHASE 1101  TST* Nirvanis Indian Ki New BrunswickNJ -19.99""]"
2023-11-03,11/03/23,100.00,10000,credit,deposits,BANK OF AMERICA DES:PAYMENT ID:000445554704257 INDN:NASR MOUSTAFA CO ID:3941687655 PPD,11/03/23 BANK OF AMERICA DES:PAYMENT ID:000445554704257 INDN:NASR MOUSTAFA CO ID:3941687655 PPD,"October 19, 2023","November 16, 2023",2061,eStmt_2023-11-16.pdf,"[""11/03/23 BANK OF AMERICA  DES:PAYMENT    ID:000445554704257  INDN:NASR MOUSTAFA           CO"", ""ID:3941687655 PPD100.00""]"
