posted_date,raw_date,amount,amount_minor,direction,section,description,description_raw,statement_start,statement_end,account_last4,source_file,raw_lines_json
2024-01-24,01/24/24,-31.00,-3100,debit,withdrawals,FIXTURE CAFE COLLECTIVE,01/24/24 FIXTURE CAFE COLLECTIVE,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/24/24 FIXTURE CAFE COLLECTIVE -31.00""]"
2024-01-16,01/16/24,-18.00,-1800,debit,withdrawals,EXAMPLE BOOKS AND SUPPLIES,01/16/24 EXAMPLE BOOKS AND SUPPLIES,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/16/24 EXAMPLE BOOKS AND SUPPLIES -18.00""]"
2024-01-19,01/19/24,-42.00,-4200,debit,withdrawals,SYNTHETIC HOME GOODS,01/19/24 SYNTHETIC HOME GOODS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/19/24 SYNTHETIC HOME GOODS -42.00""]"
2024-01-20,01/20/24,220.00,22000,credit,deposits,SYNTHETIC TRANSFER FROM SAVINGS,01/20/24 SYNTHETIC TRANSFER FROM SAVINGS,"January 1, 2024","January 31, 2024",0000,synthetic_stmt_2024_01.csv,"[""01/20/24 SYNTHETIC TRANSFER FROM SAVINGS 220.00""]"
2024-02-01,02/01/24,2800.00,280000,credit,deposits,SYNTHETIC PAYROLL ACME LABS,02/01/24 SYNTHETIC PAYROLL ACME LABS,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/01/24 SYNTHETIC PAYROLL ACME LABS 2800.00""]"
2024-02-02,02/02/24,120.00,12000,credit,deposits,SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,02/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT 120.00""]"
2024-02-03,02/03/24,-920.00,-92000,debit,withdrawals,SYNTHETIC RENT RESIDENCE,02/03/24 SYNTHETIC RENT RESIDENCE,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/03/24 SYNTHETIC RENT RESIDENCE -920.00""]"
2024-02-05,02/05/24,-128.00,-12800,debit,withdrawals,EXAMPLE UTILITIES SERVICE,02/05/24 EXAMPLE UTILITIES SERVICE,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/05/24 EXAMPLE UTILITIES SERVICE -128.00""]"
2024-02-06,02/06/24,-65.00,-6500,debit,withdrawals,DEMO INTERNET SERVICE,02/06/24 DEMO INTERNET SERVICE,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/06/24 DEMO INTERNET SERVICE -65.00""]"
2024-02-07,02/07/24,-55.00,-5500,debit,withdrawals,TEST MOBILE PLAN,02/07/24 TEST MOBILE PLAN,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/07/24 TEST MOBILE PLAN -55.00""]"
2024-02-08,02/08/24,-15.99,-1599,debit,withdrawals,DEMO STREAMING MEMBERSHIP,02/08/24 DEMO STREAMING MEMBERSHIP,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/08/24 DEMO STREAMING MEMBERSHIP -15.99""]"
2024-02-10,02/10/24,-86.45,-8645,debit,withdrawals,TEST GROCERY MART,02/10/24 TEST GROCERY MART,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/10/24 TEST GROCERY MART -86.45""]"
2024-02-14,02/14/24,-91.65,-9165,debit,withdrawals,TEST GROCERY MART,02/14/24 TEST GROCERY MART,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/14/24 TEST GROCERY MART -91.65""]"
2024-02-21,02/21/24,-78.85,-7885,debit,withdrawals,TEST GROCERY MART,02/21/24 TEST GROCERY MART,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/21/24 TEST GROCERY MART -78.85""]"
2024-02-27,02/27/24,-103.05,-10305,debit,withdrawals,TEST GROCERY MART,02/27/24 TEST GROCERY MART,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/27/24 TEST GROCERY MART -103.05""]"
2024-02-04,02/04/24,-32.25,-3225,debit,withdrawals,DEMO TRANSIT PASS,02/04/24 DEMO TRANSIT PASS,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/04/24 DEMO TRANSIT PASS -32.25""]"
2024-02-11,02/11/24,-32.25,-3225,debit,withdrawals,DEMO TRANSIT PASS,02/11/24 DEMO TRANSIT PASS,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/11/24 DEMO TRANSIT PASS -32.25""]"
2024-02-18,02/18/24,-36.25,-3625,debit,withdrawals,DEMO TRANSIT PASS,02/18/24 DEMO TRANSIT PASS,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/18/24 DEMO TRANSIT PASS -36.25""]"
2024-02-25,02/25/24,-32.25,-3225,debit,withdrawals,DEMO TRANSIT PASS,02/25/24 DEMO TRANSIT PASS,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/25/24 DEMO TRANSIT PASS -32.25""]"
2024-02-12,02/12/24,-24.60,-2460,debit,withdrawals,FIXTURE CAFE COLLECTIVE,02/12/24 FIXTURE CAFE COLLECTIVE,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/12/24 FIXTURE CAFE COLLECTIVE -24.60""]"
2024-02-24,02/24/24,-31.10,-3110,debit,withdrawals,FIXTURE CAFE COLLECTIVE,02/24/24 FIXTURE CAFE COLLECTIVE,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/24/24 FIXTURE CAFE COLLECTIVE -31.10""]"
2024-02-16,02/16/24,-18.05,-1805,debit,withdrawals,EXAMPLE BOOKS AND SUPPLIES,02/16/24 EXAMPLE BOOKS AND SUPPLIES,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/16/24 EXAMPLE BOOKS AND SUPPLIES -18.05""]"
2024-02-19,02/19/24,-61.00,-6100,debit,withdrawals,SYNTHETIC HOME GOODS,02/19/24 SYNTHETIC HOME GOODS,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/19/24 SYNTHETIC HOME GOODS -61.00""]"
2024-02-28,02/28/24,26.00,2600,credit,deposits,SYNTHETIC REFUND TEST GROCERY MART,02/28/24 SYNTHETIC REFUND TEST GROCERY MART,"February 1, 2024","February 29, 2024",0000,synthetic_stmt_2024_02.csv,"[""02/28/24 SYNTHETIC REFUND TEST GROCERY MART 26.00""]"
2024-03-01,03/01/24,2800.00,280000,credit,deposits,SYNTHETIC PAYROLL ACME LABS,03/01/24 SYNTHETIC PAYROLL ACME LABS,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/01/24 SYNTHETIC PAYROLL ACME LABS 2800.00""]"
2024-03-02,03/02/24,120.00,12000,credit,deposits,SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,03/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT 120.00""]"
2024-03-03,03/03/24,-920.00,-92000,debit,withdrawals,SYNTHETIC RENT RESIDENCE,03/03/24 SYNTHETIC RENT RESIDENCE,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/03/24 SYNTHETIC RENT RESIDENCE -920.00""]"
2024-03-05,03/05/24,-128.00,-12800,debit,withdrawals,EXAMPLE UTILITIES SERVICE,03/05/24 EXAMPLE UTILITIES SERVICE,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/05/24 EXAMPLE UTILITIES SERVICE -128.00""]"
2024-03-06,03/06/24,-65.00,-6500,debit,withdrawals,DEMO INTERNET SERVICE,03/06/24 DEMO INTERNET SERVICE,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/06/24 DEMO INTERNET SERVICE -65.00""]"
2024-03-07,03/07/24,-55.00,-5500,debit,withdrawals,TEST MOBILE PLAN,03/07/24 TEST MOBILE PLAN,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/07/24 TEST MOBILE PLAN -55.00""]"
2024-03-08,03/08/24,-15.99,-1599,debit,withdrawals,DEMO STREAMING MEMBERSHIP,03/08/24 DEMO STREAMING MEMBERSHIP,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/08/24 DEMO STREAMING MEMBERSHIP -15.99""]"
2024-03-10,03/10/24,-86.90,-8690,debit,withdrawals,TEST GROCERY MART,03/10/24 TEST GROCERY MART,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/10/24 TEST GROCERY MART -86.90""]"
2024-03-14,03/14/24,-92.10,-9210,debit,withdrawals,TEST GROCERY MART,03/14/24 TEST GROCERY MART,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/14/24 TEST GROCERY MART -92.10""]"
2024-03-21,03/21/24,-79.30,-7930,debit,withdrawals,TEST GROCERY MART,03/21/24 TEST GROCERY MART,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/21/24 TEST GROCERY MART -79.30""]"
2024-03-27,03/27/24,-103.50,-10350,debit,withdrawals,TEST GROCERY MART,03/27/24 TEST GROCERY MART,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/27/24 TEST GROCERY MART -103.50""]"
2024-03-04,03/04/24,-32.50,-3250,debit,withdrawals,DEMO TRANSIT PASS,03/04/24 DEMO TRANSIT PASS,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/04/24 DEMO TRANSIT PASS -32.50""]"
2024-03-11,03/11/24,-32.50,-3250,debit,withdrawals,DEMO TRANSIT PASS,03/11/24 DEMO TRANSIT PASS,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/11/24 DEMO TRANSIT PASS -32.50""]"
2024-03-18,03/18/24,-36.50,-3650,debit,withdrawals,DEMO TRANSIT PASS,03/18/24 DEMO TRANSIT PASS,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/18/24 DEMO TRANSIT PASS -36.50""]"
2024-03-25,03/25/24,-32.50,-3250,debit,withdrawals,DEMO TRANSIT PASS,03/25/24 DEMO TRANSIT PASS,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/25/24 DEMO TRANSIT PASS -32.50""]"
2024-03-12,03/12/24,-24.70,-2470,debit,withdrawals,FIXTURE CAFE COLLECTIVE,03/12/24 FIXTURE CAFE COLLECTIVE,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/12/24 FIXTURE CAFE COLLECTIVE -24.70""]"
2024-03-24,03/24/24,-31.20,-3120,debit,withdrawals,FIXTURE CAFE COLLECTIVE,03/24/24 FIXTURE CAFE COLLECTIVE,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/24/24 FIXTURE CAFE COLLECTIVE -31.20""]"
2024-03-16,03/16/24,-18.10,-1810,debit,withdrawals,EXAMPLE BOOKS AND SUPPLIES,03/16/24 EXAMPLE BOOKS AND SUPPLIES,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/16/24 EXAMPLE BOOKS AND SUPPLIES -18.10""]"
2024-03-19,03/19/24,-42.00,-4200,debit,withdrawals,SYNTHETIC HOME GOODS,03/19/24 SYNTHETIC HOME GOODS,"March 1, 2024","March 31, 2024",0000,synthetic_stmt_2024_03.csv,"[""03/19/24 SYNTHETIC HOME GOODS -42.00""]"
2024-04-01,04/01/24,2800.00,280000,credit,deposits,SYNTHETIC PAYROLL ACME LABS,04/01/24 SYNTHETIC PAYROLL ACME LABS,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/01/24 SYNTHETIC PAYROLL ACME LABS 2800.00""]"
2024-04-02,04/02/24,120.00,12000,credit,deposits,SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,04/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT 120.00""]"
2024-04-03,04/03/24,-920.00,-92000,debit,withdrawals,SYNTHETIC RENT RESIDENCE,04/03/24 SYNTHETIC RENT RESIDENCE,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/03/24 SYNTHETIC RENT RESIDENCE -920.00""]"
2024-04-05,04/05/24,-128.00,-12800,debit,withdrawals,EXAMPLE UTILITIES SERVICE,04/05/24 EXAMPLE UTILITIES SERVICE,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/05/24 EXAMPLE UTILITIES SERVICE -128.00""]"
2024-04-06,04/06/24,-65.00,-6500,debit,withdrawals,DEMO INTERNET SERVICE,04/06/24 DEMO INTERNET SERVICE,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/06/24 DEMO INTERNET SERVICE -65.00""]"
2024-04-07,04/07/24,-55.00,-5500,debit,withdrawals,TEST MOBILE PLAN,04/07/24 TEST MOBILE PLAN,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/07/24 TEST MOBILE PLAN -55.00""]"
2024-04-08,04/08/24,-15.99,-1599,debit,withdrawals,DEMO STREAMING MEMBERSHIP,04/08/24 DEMO STREAMING MEMBERSHIP,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/08/24 DEMO STREAMING MEMBERSHIP -15.99""]"
2024-04-10,04/10/24,-87.35,-8735,debit,withdrawals,TEST GROCERY MART,04/10/24 TEST GROCERY MART,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/10/24 TEST GROCERY MART -87.35""]"
2024-04-14,04/14/24,-92.55,-9255,debit,withdrawals,TEST GROCERY MART,04/14/24 TEST GROCERY MART,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/14/24 TEST GROCERY MART -92.55""]"
2024-04-21,04/21/24,-79.75,-7975,debit,withdrawals,TEST GROCERY MART,04/21/24 TEST GROCERY MART,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/21/24 TEST GROCERY MART -79.75""]"
2024-04-27,04/27/24,-103.95,-10395,debit,withdrawals,TEST GROCERY MART,04/27/24 TEST GROCERY MART,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/27/24 TEST GROCERY MART -103.95""]"
2024-04-04,04/04/24,-32.00,-3200,debit,withdrawals,DEMO TRANSIT PASS,04/04/24 DEMO TRANSIT PASS,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/04/24 DEMO TRANSIT PASS -32.00""]"
2024-04-11,04/11/24,-32.00,-3200,debit,withdrawals,DEMO TRANSIT PASS,04/11/24 DEMO TRANSIT PASS,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/11/24 DEMO TRANSIT PASS -32.00""]"
2024-04-18,04/18/24,-36.00,-3600,debit,withdrawals,DEMO TRANSIT PASS,04/18/24 DEMO TRANSIT PASS,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/18/24 DEMO TRANSIT PASS -36.00""]"
2024-04-25,04/25/24,-32.00,-3200,debit,withdrawals,DEMO TRANSIT PASS,04/25/24 DEMO TRANSIT PASS,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/25/24 DEMO TRANSIT PASS -32.00""]"
2024-04-12,04/12/24,-24.80,-2480,debit,withdrawals,FIXTURE CAFE COLLECTIVE,04/12/24 FIXTURE CAFE COLLECTIVE,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/12/24 FIXTURE CAFE COLLECTIVE -24.80""]"
2024-04-24,04/24/24,-31.30,-3130,debit,withdrawals,FIXTURE CAFE COLLECTIVE,04/24/24 FIXTURE CAFE COLLECTIVE,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/24/24 FIXTURE CAFE COLLECTIVE -31.30""]"
2024-04-16,04/16/24,-18.15,-1815,debit,withdrawals,EXAMPLE BOOKS AND SUPPLIES,04/16/24 EXAMPLE BOOKS AND SUPPLIES,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/16/24 EXAMPLE BOOKS AND SUPPLIES -18.15""]"
2024-04-19,04/19/24,-61.00,-6100,debit,withdrawals,SYNTHETIC HOME GOODS,04/19/24 SYNTHETIC HOME GOODS,"April 1, 2024","April 30, 2024",0000,synthetic_stmt_2024_04.csv,"[""04/19/24 SYNTHETIC HOME GOODS -61.00""]"
2024-05-01,05/01/24,2800.00,280000,credit,deposits,SYNTHETIC PAYROLL ACME LABS,05/01/24 SYNTHETIC PAYROLL ACME LABS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/01/24 SYNTHETIC PAYROLL ACME LABS 2800.00""]"
2024-05-02,05/02/24,120.00,12000,credit,deposits,SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,05/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/02/24 SYNTHETIC ALLOWANCE HOUSEHOLD SUPPORT 120.00""]"
2024-05-03,05/03/24,-920.00,-92000,debit,withdrawals,SYNTHETIC RENT RESIDENCE,05/03/24 SYNTHETIC RENT RESIDENCE,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/03/24 SYNTHETIC RENT RESIDENCE -920.00""]"
2024-05-05,05/05/24,-128.00,-12800,debit,withdrawals,EXAMPLE UTILITIES SERVICE,05/05/24 EXAMPLE UTILITIES SERVICE,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/05/24 EXAMPLE UTILITIES SERVICE -128.00""]"
2024-05-06,05/06/24,-65.00,-6500,debit,withdrawals,DEMO INTERNET SERVICE,05/06/24 DEMO INTERNET SERVICE,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/06/24 DEMO INTERNET SERVICE -65.00""]"
2024-05-07,05/07/24,-55.00,-5500,debit,withdrawals,TEST MOBILE PLAN,05/07/24 TEST MOBILE PLAN,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/07/24 TEST MOBILE PLAN -55.00""]"
2024-05-08,05/08/24,-15.99,-1599,debit,withdrawals,DEMO STREAMING MEMBERSHIP,05/08/24 DEMO STREAMING MEMBERSHIP,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/08/24 DEMO STREAMING MEMBERSHIP -15.99""]"
2024-05-10,05/10/24,-87.80,-8780,debit,withdrawals,TEST GROCERY MART,05/10/24 TEST GROCERY MART,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/10/24 TEST GROCERY MART -87.80""]"
2024-05-14,05/14/24,-93.00,-9300,debit,withdrawals,TEST GROCERY MART,05/14/24 TEST GROCERY MART,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/14/24 TEST GROCERY MART -93.00""]"
2024-05-21,05/21/24,-80.20,-8020,debit,withdrawals,TEST GROCERY MART,05/21/24 TEST GROCERY MART,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/21/24 TEST GROCERY MART -80.20""]"
2024-05-27,05/27/24,-104.40,-10440,debit,withdrawals,TEST GROCERY MART,05/27/24 TEST GROCERY MART,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/27/24 TEST GROCERY MART -104.40""]"
2024-05-04,05/04/24,-32.25,-3225,debit,withdrawals,DEMO TRANSIT PASS,05/04/24 DEMO TRANSIT PASS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/04/24 DEMO TRANSIT PASS -32.25""]"
2024-05-11,05/11/24,-32.25,-3225,debit,withdrawals,DEMO TRANSIT PASS,05/11/24 DEMO TRANSIT PASS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/11/24 DEMO TRANSIT PASS -32.25""]"
2024-05-18,05/18/24,-36.25,-3625,debit,withdrawals,DEMO TRANSIT PASS,05/18/24 DEMO TRANSIT PASS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/18/24 DEMO TRANSIT PASS -36.25""]"
2024-05-25,05/25/24,-32.25,-3225,debit,withdrawals,DEMO TRANSIT PASS,05/25/24 DEMO TRANSIT PASS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/25/24 DEMO TRANSIT PASS -32.25""]"
2024-05-12,05/12/24,-24.90,-2490,debit,withdrawals,FIXTURE CAFE COLLECTIVE,05/12/24 FIXTURE CAFE COLLECTIVE,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/12/24 FIXTURE CAFE COLLECTIVE -24.90""]"
2024-05-24,05/24/24,-31.40,-3140,debit,withdrawals,FIXTURE CAFE COLLECTIVE,05/24/24 FIXTURE CAFE COLLECTIVE,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/24/24 FIXTURE CAFE COLLECTIVE -31.40""]"
2024-05-16,05/16/24,-18.20,-1820,debit,withdrawals,EXAMPLE BOOKS AND SUPPLIES,05/16/24 EXAMPLE BOOKS AND SUPPLIES,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/16/24 EXAMPLE BOOKS AND SUPPLIES -18.20""]"
2024-05-19,05/19/24,-42.00,-4200,debit,withdrawals,SYNTHETIC HOME GOODS,05/19/24 SYNTHETIC HOME GOODS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/19/24 SYNTHETIC HOME GOODS -42.00""]"
2024-05-20,05/20/24,220.00,22000,credit,deposits,SYNTHETIC TRANSFER FROM SAVINGS,05/20/24 SYNTHETIC TRANSFER FROM SAVINGS,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/20/24 SYNTHETIC TRANSFER FROM SAVINGS 220.00""]"
2024-05-28,05/28/24,26.00,2600,credit,deposits,SYNTHETIC REFUND TEST GROCERY MART,05/28/24 SYNTHETIC REFUND TEST GROCERY MART,"May 1, 2024","May 31, 2024",0000,synthetic_stmt_2024_05.csv,"[""05/28/24 SYNTHETIC REFUND TEST GROCERY MART 26.00""]"
